user_id,date,kind,category,label,amount
2,2024-01-05,revenu,"Revenus professionnels","Salaire principal_Jan 2024",1580.0
2,2024-01-10,revenu,"Revenus exceptionnels","Remboursement d’assurance_Jan 2024",60.0
2,2024-01-01,depense,"Logement","Eau_Jan 2024",62.0
2,2024-01-03,depense,"Alimentation & boissons non alcoolisées","Boulangerie / pâtisserie_Jan 2024",58.0
2,2024-01-07,depense,"Transport","Transports en commun_Jan 2024",82.0
2,2024-01-09,depense,"Loisirs & culture","Sport / salle de sport_Jan 2024",115.0
2,2024-01-12,depense,"Restaurants & hôtels","Restaurants_Jan 2024",175.0
2,2024-01-15,depense,"Santé","Soins dentaires_Jan 2024",240.0
2,2024-01-18,depense,"Communications","Abonnements numériques (Netflix, Spotify, etc.)_Jan 2024",35.0
2,2024-01-20,depense,"Habillement & chaussures","Chaussures_Jan 2024",125.0
2,2024-01-22,depense,"Impôts & taxes","Taxe d’habitation_Jan 2024",220.0
2,2024-01-25,depense,"Crédits & dettes","Intérêts bancaires_Jan 2024",140.0
2,2024-01-28,depense,"Dépenses exceptionnelles","Gros achats imprévus_Jan 2024",400.0
2,2024-01-30,depense,"Assurances","Assurance santé complémentaire_Jan 2024",125.0
2,2024-01-31,epargne,"Épargne & placements","PEL / CEL_Jan 2024",0.0
2,2024-02-08,revenu,"Revenus professionnels","Prime / bonus_Feb 2024",180.0
2,2024-02-15,revenu,"Revenus sociaux & aides","RSA / Aide sociale_Feb 2024",380.0
2,2024-02-01,depense,"Logement","Gaz & combustibles_Feb 2024",82.0
2,2024-02-03,depense,"Alimentation & boissons non alcoolisées","Fruits & légumes_Feb 2024",92.0
2,2024-02-06,depense,"Transport","Péages / parking_Feb 2024",62.0
2,2024-02-09,depense,"Loisirs & culture","Voyages / vacances_Feb 2024",520.0
2,2024-02-12,depense,"Restaurants & hôtels","Hôtels / hébergements / Airbnb_Feb 2024",220.0
2,2024-02-15,depense,"Santé","Lunettes / lentilles_Feb 2024",230.0
2,2024-02-18,depense,"Communications","Télévision / streaming_Feb 2024",32.0
2,2024-02-20,depense,"Habillement & chaussures","Accessoires / bijoux_Feb 2024",105.0
2,2024-02-22,depense,"Impôts & taxes","Amendes / contraventions_Feb 2024",165.0
2,2024-02-25,depense,"Crédits & dettes","Remboursement de dettes privées_Feb 2024",280.0
2,2024-02-28,depense,"Dépenses exceptionnelles","Déménagement_Feb 2024",460.0
2,2024-02-29,depense,"Assurances","Assurance vie_Feb 2024",135.0
